ID,SUMMARY,Requirements,Test Step,Expected Outcome,Actual Outcome,Status,Test type
TC_1a,Verify that images of product are displayed correctly.,"1. Browser opened
2. Internet connection
3. URL entered","1. Keep Scrolling the home page
2. Click on a product from the home page","1. Product images should be shown correctly
2. Images will be enlarged on mouse hover",Images shown but zoom-in effect not working,Fail,Manual
TC_2a,Verification of Product Price,"1. Browser opened
2. Site URL entered
3. User logged in","1. Keep Scrolling the home page
2. Click on a product from the home page",Product price should be displayed correctly,As expected,Pass,Manual
TC_3a,Checking Product deals calculation,"1. Browser opened
2. Site URL entered
3. User logged in",Click on a product,"If there is any discount, then product price will be adjusted",Discount is not properly calculated,Fail,Manual
TC_4a,Verification of Product Specification,"1. Browser opened
2. Site URL entered
3. User logged in",Click on a product,Specification about that product will be shown,As expected,Pass,Manual
TC_5a,Checking Stock Information,"1. Browser opened
2. Site URL entered
3. User logged in",Press on any product from the home page,"Production stock information (In Stock, Out of Stock, Upcoming, and its Quantity) will be shown","Quantity is not showing, else as expected",Fail,Manual
TC_6a,Checking of Seller Rating display,"1. Browser opened
2. Site URL entered
3. User logged in",Click on a product from the home page,Seller Rating is displayed,As expected,Pass,Manual
TC_7a,Checking of product comments,"1. Browser opened
2. Site URL entered
3. User logged in",Click on a product on home page,Customer comments should be displayed,As expected,Pass,Manual
TC_8a,Checking display of all variation of a product,"1. Browser opened
2. Site URL entered
3. User logged in",Click on a product on home page,"1. Product details will be shown
2. All variations (color, size, etc.) of the product will be shown","Additional sizes are not shown, additional colors are displayed",Fail,Manual
TC_9a,Verification of Product shipping information,"1. Browser opened
2. Site URL entered
3. User logged in",Click on any product,User will get the product specification and shipping information will be displayed under the product image,As expected,Pass,Manual
TC_10a,Verification of product suggestions related to product are displayed,"1. Browser opened
2. Site URL entered
3. User logged in",Click on a product,Product suggestions should be displayed,N/A,Skip,Manual
